Sütun1;id;fiyat;oda_salon_sayisi;net_m2;bina_yasi;isinma_tipi;krediye_uygunluk;bulundugu_kat;banyo_sayisi;ilce;nüfus;eðitim;okuma_yazma_bilmeyen
2612;2612;275000;4;120;12;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
4819;4819;700000;3;88;0;Merkezi(PayÖlçer);Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
149;149;980000;5;230;30;Kombi;Uygun;3. Kat;2;Çankaya;925828;liSans;0,7
3628;3628;385000;4;120;22;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
3936;3936;700000;5;150;0;Kombi;Uygun;Ara Kat;2;Çankaya;925828;Lisans;0,7
2704;2704;110000;4;110;20;Kombi;Uygun;Bahçe Katý;1;Sincan;549108;Lise;1,44
3793;3793;347000;7;210;10;Kombi;Uygun;Teras Katý;2;Sincan;549108;Lise;1,44
1049;1049;495000;3;100;35;Merkezi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
3313;3313;1250000;5;195;0;Merkezi(PayÖlçer);Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
1566;1566;315000;4;115;22;Kombi;Uygun;En Üst Kat;1;Çankaya;925828;Lisans;0,7
1090;1090;500000;4;127;20;Kombi;Uygun;9. Kat;1;Keçiören;938565;liS3;1,43
1086;1086;439000;4;135;12;Kombi;Uygun;Kot 2;2;Çankaya;925828;Lisans;0,7
666;666;125000;4;119;5;Kombi;Uygun;5. Kat;1;Sincan;549108;Lise;1,44
4010;4010;625000;4;130;35;Merkezi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
4779;4779;580000;4;100;35;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
525;525;268000;3;110;25;Kombi;Uygun;Kot 1;1;Çankaya;;Lisans;0,7
1010;1010;444000;4;110;20;Kombi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
4428;4428;800000;4;110;15;Kombi;Uygun;6. Kat;2;Keçiören;938565;Lise;1,43
2053;2053;850000;3;110;3;Merkezi(PayÖlçer);Uygun;7. Kat;2;Keçiören;938565;Lise;1,43
2125;2125;739000;5;150;22;Merkezi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
1183;1183;419000;4;110;28;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
2496;2496;229000;4;110;25;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
1041;1041;1875000;6;350;7;Merkezi(PayÖlçer);Uygun;21 ve üzeri;2;Çankaya;925828;Lisans;0,7
4595;4595;710000;4;110;40;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1776;1776;535000;3;70;0;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4898;4898;4250000;5;280;30;Merkezi;Uygun;4. Kat;4;Keçiören;938565;Lise;0
2755;2755;735000;5;200;25;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
14;14;830000;5;145;18;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
4674;4674;440000;4;124;36;Merkezi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
1536;1536;670000;5;185;2;Merkezi(PayÖlçer);Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
272;272;465000;4;180;10;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
3247;3247;940000;6;200;30;Merkezi;Uygun;2. Kat;3;Çankaya;925828;Lisans;0,7
968;968;400000;4;110;7;Kombi;Uygun;4. Kat;1;Sincan;549108;Lise;1,44
2408;2408;425000;4;100;35;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
3080;3080;685000;6;175;0;Kombi;Uygun;6. Kat;3;Keçiören;938565;Lise;1,43
674;674;995000;4;130;4;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
2341;2341;265000;4;110;10;Kombi;Uygun;2. Kat;1;Mamak;669465;Lise;1,9
1409;1409;449000;3;100;22;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
205;205;535000;6;280;14;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
2992;2992;780000;5;140;15;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
3367;3367;685000;4;135;40;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
3110;3110;875000;5;175;0;Kombi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
879;879;450000;4;110;1;Kombi;Uygun;Kot 1;2;Çankaya;925828;Lisans;0,7
3661;3661;450000;4;130;0;Kombi;Uygun;3. Kat;2;Sincan;549108;Lise;1,44
2856;2856;209000;4;120;3;Kombi;Uygun;Giriþ Katý;2;Sincan;549108;Lise;1,44
3755;3755;419000;4;100;25;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1693;1693;285000;2;80;28;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
4924;4924;525000;4;120;14;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
4488;4488;369000;4;100;25;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
4223;4223;427000;3;85;30;Kombi;Uygun;13. Kat;1;Çankaya;925828;Lisans;0,7
4552;4552;495000;4;100;16;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
4306;4306;345000;4;130;3;Kombi;Uygun;Yüksek Giriþ;2;Keçiören;938565;Lise;1,43
2926;2926;340000;3;95;0;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4026;4026;625000;5;165;20;Kombi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
1678;1678;450000;6;260;18;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
645;645;330000;4;120;12;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
2608;2608;550000;4;118;0;Merkezi(PayÖlçer);Uygun;2. Kat;2;Sincan;549108;Lise;1,44
1813;1813;459000;4;120;22;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
3579;3579;475000;5;180;20;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
874;874;940000;6;170;20;Merkezi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
4725;4725;220000;3;90;20;Kombi;Uygun;Zemin;1;Keçiören;938565;Lise;1,43
1548;1548;485000;5;150;12;Kombi;Uygun;Kot 1;2;Çankaya;925828;Lisans;0,7
1721;1721;650000;4;115;35;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2722;2722;779000;5;165;15;Merkezi;Uygun;5. Kat;2;Çankaya;925828;Lisans;0,7
3686;3686;528000;2;75;1;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
2261;2261;325000;4;140;4;Kombi;Uygun;4. Kat;1;Sincan;549108;Lise;1,44
2895;2895;1250000;5;179;0;Merkezi(PayÖlçer);Uygun;Ara Kat;2;Keçiören;938565;Lise;1,43
4721;4721;450000;4;130;12;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
4051;4051;720000;5;170;11;Kombi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
3941;3941;285000;;110;28;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
3330;3330;3750000;6;325;15;KatKaloriferi;Uygun;Ara Kat;3;Çankaya;925828;Lisans;0,7
4943;4943;350000;4;115;0;Kombi;Uygun;4. Kat;1;Sincan;549108;Lise;1,44
4016;4016;2,83E+05;4;120;4;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
79;79;595000;4;129;35;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
4546;4546;750000;5;150;30;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2301;2301;2490000;7;240;10;Kombi;Uygun;5. Kat;2;Çankaya;925828;Lisans;0,7
2710;2710;415000;4;140;35;Merkezi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
178;178;375000;4;100;4;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
1648;1648;230000;4;120;0;Merkezi(PayÖlçer);Uygun;1. Kat;1;Sincan;549108;Lise;1,44
1274;1274;880000;4;125;0;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
948;948;320000;4;100;30;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3277;3277;650000;3;95;2;Merkezi(PayÖlçer);Uygun;12. Kat;1;Keçiören;938565;Lise;1,43
4916;4916;599000;4;145;0;Kombi;Uygun;2. Kat;2;Sincan;549108;Lise;1,44
1032;1032;600000;3;110;45;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
3357;3357;395000;4;115;40;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
3534;3534;1300000;4;130;0;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
281;281;450000;4;115;30;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
3523;3523;6,40E+05;5;160;18;Kombi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
1603;1603;739000;5;140;25;Merkezi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
1583;1583;395000;4;120;5;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
2051;2051;580000;4;110;30;Merkezi;Uygun;Giriþ Katý;2;Çankaya;925828;Lisans;0,7
1229;1229;335000;4;125;25;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
3328;3328;1785000;5;175;1;Merkezi(PayÖlçer);Uygun;14. Kat;2;Çankaya;925828;Lisans;0,7
764;764;365000;4;110;0;Merkezi(PayÖlçer);Uygun deðil;6. Kat;1;Sincan;549108;Lise;1,44
3061;3061;585000;4;135;22;Merkezi;Uygun;3. Kat;2;Çankaya;925828;liSans;0,7
1273;1273;375000;4;120;35;Merkezi;Uygun;Kot 2;1;Çankaya;925828;Lisans;0,7
4436;4436;1300000;5;150;0;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
3068;3068;290000;3;80;30;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
706;706;270000;2;-62;10;Kombi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
4953;4953;1,42E+06;5;210;0;Merkezi(PayÖlçer);Uygun;1. Kat;3;Keçiören;938565;Lise;1,43
771;771;630000;4;134;0;Merkezi(PayÖlçer);Uygun;6. Kat;2;Sincan;549108;Lise;1,44
4472;4472;595000;4;115;27;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
751;751;370000;3;100;20;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
782;782;589000;4;120;19;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
757;757;720000;5;170;11;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
2254;2254;265000;3;100;40;Merkezi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
1641;1641;1380000;5;165;2;Merkezi(PayÖlçer);Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
3097;3097;945000;4;120;0;Merkezi(PayÖlçer);Uygun;9. Kat;2;Çankaya;925828;Lisans;0,7
4452;4452;985000;4;86;0;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
4364;4364;1500000;5;155;0;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
3785;3785;1500000;6;260;20;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
695;695;6,00E+05;4;135;20;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
432;432;875000;5;240;0;Kombi;Uygun;2. Kat;3;Keçiören;938565;Lise;1,43
4506;4506;440000;4;120;0;Merkezi(PayÖlçer);Uygun;11. Kat;2;Sincan;549108;Lise;1,44
90;90;1080000;5;165;0;Merkezi(PayÖlçer);Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
2566;2566;2,70E+05;4;130;0;Kombi;Uygun;1. Kat;2;Sincan;549108;Lise;1,44
4339;4339;1280000;35;170;15;Kombi;Uygun;7. Kat;2;Çankaya;925828;Lisans;0,7
4224;4224;875000;4;135;35;Merkezi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
3283;3283;1690000;5;160;20;Merkezi;Uygun;13. Kat;2;Keçiören;938565;Lise;1,43
1276;1276;750;4;115;0;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
90;90;1080000;5;165;0;Merkezi(PayÖlçer);Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
918;918;330000;4;90;16;Kombi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
954;954;435000;4;135;2;Kombi;Uygun;3. Kat;2;Sincan;549108;Lise;1,44
1007;1007;539000;4;125;22;;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
3592;3592;960000;4;130;0;Merkezi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
3725;3725;220000;3;75;20;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
354;354;1250000;6;200;30;Merkezi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
2850;2850;387500;3;90;35;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
3043;3043;5100000;7;310;0;Merkezi(PayÖlçer);Uygun;1. Kat;4;Keçiören;938565;Lise;1,43
332;332;365000;4;115;28;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
